title,author,rating,description,language,genres,pages,publisher,publishDate,numRatings,likedPercent,coverImg,description_cleaned
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",4.02,"
  This is an adaptation. For the editions of the original book, see here
.Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel written by English mathematician Charles Lutwidge Dodgson under the pseudonym Lewis Carroll. It tells of a girl named Alice falling through a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children. It is considered to be one of the best examples of the literary nonsense genre. Its narrative course and structure, characters and imagery have been enormously influential in both popular culture and literature, especially in the fantasy genre.Alice in WonderlandJane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)Alice in WonderlandJane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",English,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature', 'Novels', 'Classic Literature', 'Middle Grade']",92,Gramercy Books,09/07/04,376781,92.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391458382l/13023.jpg,adaptation editions original book see alices adventures wonderland commonly shortened alice wonderland novel written english mathematician charles lutwidge dodgson pseudonym lewis carroll tells girl named alice falling rabbit hole fantasy world populated peculiar anthropomorphic creatures tale plays logic giving story lasting popularity adults well children considered one best examples literary nonsense genre narrative course structure characters imagery enormously influential popular culture literature especially fantasy genrealice wonderlandjane carruth adapted lewis carroll original story rene cloke illustratoralice wonderlandjane carruth adapted lewis carroll original story rene cloke illustrator
The Phantom Tollbooth,"Norton Juster, Jules Feiffer (Illustrator)",4.2,"Librarian's Note: For an alternate cover edition of the same ISBN, click here.Hailed as “a classic. . . . humorous, full of warmth and real invention” (The New Yorker), this beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. For Milo, everything’s a bore. When a tollbooth mysteriously appears in his room, he drives through only because he’s got nothing better to do. But on the other side, things seem different. Milo visits the Island of Conclusions (you get there by jumping), learns about time from a ticking watchdog named Tock, and even embarks on a quest to rescue Rhyme and Reason! Somewhere along the way, Milo realizes something astonishing. Life is far from dull. In fact, it’s exciting beyond his wildest dreams. . . .The Phantom TollboothNorton Juster, Jules Feiffer (Illustrator)The Phantom TollboothNorton Juster, Jules Feiffer (Illustrator)",English,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Humor', 'Science Fiction Fantasy', 'Juvenile']",256,Random House Bullseye Books,10/28/96,242124,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485l/378._SX318_.jpg,librarians note alternate cover edition isbn click herehailed classic humorous full warmth real invention new yorker beloved story first published fifty years ago introduces readers milo adventures lands beyond milo everythings bore tollbooth mysteriously appears room drives hes got nothing better side things seem different milo visits island conclusions get jumping learns time ticking watchdog named tock even embarks quest rescue rhyme reason somewhere along way milo realizes something astonishing life far dull fact exciting beyond wildest dreams phantom tollboothnorton juster jules feiffer illustratorthe phantom tollboothnorton juster jules feiffer illustrator
Bridge to Terabithia,Katherine Paterson,4.01,"Jess Aarons' greatest ambition is to be the fastest runner in his grade. He's been practicing all summer and can't wait to see his classmates' faces when he beats them all. But on the first day of school, a new girl boldly crosses over to the boys' side and outruns everyone.That's not a very promising beginning for a friendship, but Jess and Leslie Burke become inseparable. Together they create Terabithia, a magical kingdom in the woods where the two of them reign as king and queen, and their imaginations set the only limits.Bridge to TerabithiaKatherine PatersonBridge to TerabithiaKatherine Paterson",English,"['Young Adult', 'Fiction', 'Classics', 'Childrens', 'Fantasy', 'Middle Grade', 'Realistic Fiction', 'School', 'Juvenile', 'Contemporary']",190,HarperCollins,10/06/09,445082,92.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532478367l/40940121._SY475_.jpg,jess aarons greatest ambition fastest runner grade hes practicing summer cant wait see classmates faces beats first day school new girl boldly crosses boys side outruns everyonethats promising beginning friendship jess leslie burke become inseparable together create terabithia magical kingdom woods two reign king queen imaginations set limitsbridge terabithiakatherine patersonbridge terabithiakatherine paterson
The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)",4.48,"The extraordinary, ground breaking New York Times bestsellers The Hunger Games and Catching Fire, along with the third book in The Hunger Games trilogy by Suzanne Collins, Mockingjay, are available for the first time ever in a beautiful boxset edition. Stunning, gripping, and powerful. The trilogy is now complete!The Hunger Games Trilogy BoxsetSuzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)The Hunger Games #1-3The Hunger Games Trilogy BoxsetSuzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)The Hunger Games #1-3",English,"['Young Adult', 'Fiction', 'Fantasy', 'Dystopia', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Action', 'Novels']",1155,Scholastic Press,08/24/10,187877,98.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360094673l/7938275.jpg,extraordinary ground breaking new york times bestsellers hunger games catching fire along third book hunger games trilogy suzanne collins mockingjay available first time ever beautiful boxset edition stunning gripping powerful trilogy completethe hunger games trilogy boxsetsuzanne collins guillaume fournier translator pilar ramrez tello goodreads author translator hanna hrl illustrator sylke hachmeister translator peter klss translatorthe hunger games hunger games trilogy boxsetsuzanne collins guillaume fournier translator pilar ramrez tello goodreads author translator hanna hrl illustrator sylke hachmeister translator peter klss translatorthe hunger games
"Oh, the Places You'll Go!",Dr. Seuss,4.35,"For out-starting upstarts of all ages, here is a wonderfully wise and blessedly brief graduation speech from the one and only Dr. Seuss. In his inimitable, humorous verse and pictures, he addresses the Great Balancing Act (life itself, and the ups and downs it presents) while encouraging us to find the success that lies within us.
  
  And will you succeed?Yes! You will indeed!(98 and ¾ percent guaranteed.)
  
A modern classic, Oh, the Places You'll Go! was first published one year before Dr. Seuss's death at the age of eighty-seven. In a mere fifty-six pages, Dr, Seuss managed to impart a lifetime of wisdom. It is the perfect send-off for children starting out in the maze of life, be they nursery school grads or newly-minted PhD's. Everyone will find it inspired good fun.Oh, the Places You'll Go!Dr. SeussOh, the Places You'll Go!Dr. Seuss",English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']",44,Random House Books for Young Readers,01/22/90,328451,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421708635l/191139.jpg,outstarting upstarts ages wonderfully wise blessedly brief graduation speech one dr seuss inimitable humorous verse pictures addresses great balancing act life ups downs presents encouraging us find success lies within us succeedyes indeed percent guaranteed modern classic oh places youll go first published one year dr seusss death age eightyseven mere fiftysix pages dr seuss managed impart lifetime wisdom perfect sendoff children starting maze life nursery school grads newlyminted phds everyone find inspired good funoh places youll godr seussoh places youll godr seuss
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland (Translator)",4.24,"Part blistering espionage thriller, part riveting police procedural, and part piercing exposé on social injustice, The Girl Who Played with Fire is a masterful, endlessly satisfying novel.  Mikael Blomkvist, crusading publisher of the magazine Millennium, has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the two reporters responsible for the article are murdered, and the fingerprints found on the murder weapon belong to his friend, the troubled genius hacker Lisbeth Salander. Blomkvist, convinced of Salander’s innocence, plunges into an investigation. Meanwhile, Salander herself is drawn into a murderous game of cat and mouse, which forces her to face her dark past.From the Trade Paperback edition.The Girl Who Played with FireStieg Larsson, Reg Keeland (Translator)Millennium #2The Girl Who Played with FireStieg Larsson, Reg Keeland (Translator)Millennium #2",English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Sweden', 'Adult', 'Audiobook']",503,Alfred A. Knopf,07/28/09,809293,97.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881l/5060378.jpg,part blistering espionage thriller part riveting police procedural part piercing expos social injustice girl played fire masterful endlessly satisfying novel mikael blomkvist crusading publisher magazine millennium decided run story expose extensive sex trafficking operation eve publication two reporters responsible article murdered fingerprints found murder weapon belong friend troubled genius hacker lisbeth salander blomkvist convinced salanders innocence plunges investigation meanwhile salander drawn murderous game cat mouse forces face dark pastfrom trade paperback editionthe girl played firestieg larsson reg keeland translatormillennium girl played firestieg larsson reg keeland translatormillennium
The Maze Runner,James Dashner (Goodreads Author),4.03,"There are alternate cover editions for this ASIN here and here.If you ain’t scared, you ain’t human. When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone. Nice to meet ya, shank. Welcome to the Glade. Outside the towering stone walls that surround the Glade is a limitless, ever-changing maze. It’s the only way out—and no one’s ever made it through alive. Everything is going to change. Then a girl arrives. The first girl ever. And the message she delivers is terrifying. Remember. Survive. Run.The Maze RunnerJames Dashner (Goodreads Author)The Maze Runner #1The Maze RunnerJames Dashner (Goodreads Author)The Maze Runner #1",English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Post Apocalyptic', 'Mystery', 'Teen', 'Audiobook']",384,Delacorte Press,10/06/09,1056076,92.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592l/6186357.jpg,alternate cover editions asin hereif aint scared aint human thomas wakes lift thing remember name hes surrounded strangersboys whose memories also gone nice meet ya shank welcome glade outside towering stone walls surround glade limitless everchanging maze way outand ones ever made alive everything going change girl arrives first girl ever message delivers terrifying remember survive runthe maze runnerjames dashner goodreads authorthe maze runner maze runnerjames dashner goodreads authorthe maze runner
The Neverending Story,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",4.17,"This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published more than a decade ago. Its special story within a story is an irresistible invitation for readers to become part of the book itself. And now this modern classic and bibliophile's dream is available in hardcover again.The story begins with a lonely boy named Bastian and the strange book that draws him into the beautiful but doomed world of Fantastica. Only a human can save this enchanted place by giving its ruler, the Childlike Empress, a new name. But the journey to her tower leads through lands of dragons, giants, monsters, and magic and once Bastian begins his quest, he may never return. As he is drawn deeper into Fantastica, he must find the courage to face unspeakable foes and the mysteries of his own heart. Readers, too, can travel to the wondrous, unforgettable world of Fantastica if they will just turn the page...--front flapThe Neverending StoryMichael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)The Neverending StoryMichael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",English,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'German Literature', 'Middle Grade', 'Science Fiction Fantasy', 'Books About Books']",396,Dutton Children's Books,10/28/97,161944,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554230952l/27712.jpg,epic work imagination captured hearts millions readers worldwide since first published decade ago special story within story irresistible invitation readers become part book modern classic bibliophiles dream available hardcover againthe story begins lonely boy named bastian strange book draws beautiful doomed world fantastica human save enchanted place giving ruler childlike empress new name journey tower leads lands dragons giants monsters magic bastian begins quest may never return drawn deeper fantastica must find courage face unspeakable foes mysteries heart readers travel wondrous unforgettable world fantastica turn pagefront flapthe neverending storymichael ende ralph manheim translator roswitha quadflieg illustratorthe neverending storymichael ende ralph manheim translator roswitha quadflieg illustrator
The Clan of the Cave Bear,Jean M. Auel,4.05,"This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves the Clan of the Cave Bear. A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Iza's way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.The Clan of the Cave BearJean M. AuelEarth's Children #1The Clan of the Cave BearJean M. AuelEarth's Children #1",English,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Romance', 'Adventure', 'Prehistoric', 'Adult', 'Novels']",516,Bantam,10/06/16,229099,93.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529681430l/40611463._SY475_.jpg,novel awesome beauty power moving saga people relationships boundaries love jean auels magnificent storytelling taken back dawn modern humans girl named ayla swept harsh beautiful ice age world shared ones called clan cave bear natural disaster leaves young girl wandering alone unfamiliar dangerous land found woman clan people different kind blond blueeyed ayla looks peculiar uglyshe one others moved ancient homeland iza leave girl die takes iza creb old mogur grow love ayla learns ways clan izas way healing come accept brutal proud youth destined become next leader sees differences threat authority develops deep abiding hatred strange girl others lives midst determined get revengethe clan cave bearjean auelearths children clan cave bearjean auelearths children
A Storm of Swords,George R.R. Martin,4.53,"An alternate cover for this isbn can be found here.Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. Joffrey sits on the Iron Throne, the uneasy ruler of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. Young Robb still rules the North from the fortress of Riverrun. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords...A Storm of SwordsGeorge R.R. MartinA Song of Ice and Fire #3A Storm of SwordsGeorge R.R. MartinA Song of Ice and Fire #3",English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",1177,Bantam,03/04/03,666114,99.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786l/62291.jpg,alternate cover isbn found herehere third volume george rr martins magnificent cycle novels includes game thrones clash kings together series comprises genuine masterpiece modern fantasy destined stand one great achievements imaginative fictionof five contenders power one dead another disfavor still wars rage alliances made broken joffrey sits iron throne uneasy ruler seven kingdoms bitter rival lord stannis stands defeated disgraced victim sorceress holds thrall young robb still rules north fortress riverrun meanwhile making way across blooddrenched continent exiled queen daenerys mistress three dragons still left world opposing forces manoeuver final showdown army barbaric wildlings arrives outermost limits civilization accompanied horde mythical othersa supernatural army living dead whose animated corpses unstoppable future land hangs balance one rest seven kingdoms exploded veritable storm swordsa storm swordsgeorge rr martina song ice fire storm swordsgeorge rr martina song ice fire
The World According to Garp,John Irving (Goodreads Author),4.09,"This is the life and times of T. S. Garp, the bastard son of Jenny Fields—a feminist leader ahead of her times. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes—even of sexual assassinations. It is a novel rich with ""lunacy and sorrow""; yet the dark, violent events of the story do not undermine a comedy both ribald and robust. In more than thirty languages, in more than forty countries—with more than ten million copies in print—this novel provides almost cheerful, even hilarious evidence of its famous last line: ""In the world according to Garp, we are all terminal cases.""The World According to GarpJohn Irving (Goodreads Author)The World According to GarpJohn Irving (Goodreads Author)",English,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Humor', 'American', 'Adult Fiction', 'Drama']",610,Ballantine Books,04/01/99,204622,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447234581l/7069._SY475_.jpg,life times garp bastard son jenny fieldsa feminist leader ahead times life death famous mother almostfamous son world sexual extremeseven sexual assassinations novel rich lunacy sorrow yet dark violent events story undermine comedy ribald robust thirty languages forty countrieswith ten million copies printthis novel provides almost cheerful even hilarious evidence famous last line world according garp terminal casesthe world according garpjohn irving goodreads authorthe world according garpjohn irving goodreads author
David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)",4.0,"David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr Murdstone; his brilliant, but ultimately unworthy school-friend James Steerforth; his formidable aunt, Betsey Trotwood; the eternally humble, yet treacherous Uriah Heep; frivolous, enchanting Dora Spenlow; and the magnificently impecunious Wilkins Micawber, one of literature's great comic creations. In David Copperfield - the novel he described as his 'favourite child' - Dickens drew revealingly on his own experiences to create one of the most exuberant and enduringly popular works, filled with tragedy and comedy in equal measure. This edition uses the text of the first volume publication of 1850, and includes updated suggestions for further reading, original illustrations by 'Phiz', a revised chronology and expanded notes. In his new introduction, Jeremy Tambling discusses the novel's autobiographical elements, and its central themes of memory and identity.David CopperfieldCharles Dickens, Jeremy Tambling (Introduction)David CopperfieldCharles Dickens, Jeremy Tambling (Introduction)",English,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'Novels', '19th Century', 'British Literature', 'Classic Literature', 'Victorian', 'Audiobook']",882,Penguin,10/28/04,199074,93.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461452762l/58696._SY475_.jpg,david copperfield story young mans adventures journey unhappy impoverished childhood discovery vocation successful novelist among gloriously vivid cast characters encounters tyrannical stepfather mr murdstone brilliant ultimately unworthy schoolfriend james steerforth formidable aunt betsey trotwood eternally humble yet treacherous uriah heep frivolous enchanting dora spenlow magnificently impecunious wilkins micawber one literatures great comic creations david copperfield novel described favourite child dickens drew revealingly experiences create one exuberant enduringly popular works filled tragedy comedy equal measure edition uses text first volume publication includes updated suggestions reading original illustrations phiz revised chronology expanded notes new introduction jeremy tambling discusses novels autobiographical elements central themes memory identitydavid copperfieldcharles dickens jeremy tambling introductiondavid copperfieldcharles dickens jeremy tambling introduction
Murder on the Orient Express,Agatha Christie,4.17,"Just after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer—in case he or she decides to strike again.Murder on the Orient ExpressAgatha ChristieHercule Poirot #10Murder on the Orient ExpressAgatha ChristieHercule Poirot #10",English,"['Mystery', 'Classics', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Detective', 'Adult', 'British Literature']",347,HarperCollins,06/04/07,381053,97.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY475_.jpg,midnight snowdrift stops orient express tracks luxurious train surprisingly full time year morning one passenger fewer american tycoon lies dead compartment stabbed dozen times door locked insideisolated killer midst detective hercule poirot must identify murdererin case decides strike againmurder orient expressagatha christiehercule poirot murder orient expressagatha christiehercule poirot
A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)",4.2,"Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess, one of the best-loved stories in all of children's literature. This unique and fully annotated edition appends excerpts from Frances Hodgson Burnett's original 1888 novella Sara Crewe and the stage play that preceded the novel, as well as an early story, ""Behind the White Brick,"" allowing readers to see how A Little Princess evolved. In his delightful introduction, U. C. Knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of Victorian literature, and shows it to be an exceptionally rich and resonant novel.A Little PrincessFrances Hodgson Burnett, Nancy Bond (Foreword)A Little PrincessFrances Hodgson Burnett, Nancy Bond (Foreword)",English,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical', 'Literature', 'Juvenile', 'Novels']",242,Penguin Books,02/26/02,271682,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868556l/3008.jpg,sara crewe exceptionally intelligent imaginative student miss minchins select seminary young ladies devastated adored indulgent father dies penniless banished room attic sara demeaned abused forced work servant resourceful girls fortunes change center little princess one bestloved stories childrens literature unique fully annotated edition appends excerpts frances hodgson burnetts original novella sara crewe stage play preceded novel well early story behind white brick allowing readers see little princess evolved delightful introduction u c knoepflmacher considers fairytale allusions literary touchstones place book among major works victorian literature shows exceptionally rich resonant novela little princessfrances hodgson burnett nancy bond foreworda little princessfrances hodgson burnett nancy bond foreword
The Other Boleyn Girl,Philippa Gregory (Goodreads Author),4.07,"This is an alternate cover edition of ISBN 9780743227445Two sisters competing for the greatest prize: The love of a kingWhen Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.A rich and compelling novel of love, sex, ambition, and intrigue, The Other Boleyn Girl introduces a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamourous court in Europe and survived by following her heart.The Other Boleyn GirlPhilippa Gregory (Goodreads Author)The Plantagenet and Tudor Novels #9The Other Boleyn GirlPhilippa Gregory (Goodreads Author)The Plantagenet and Tudor Novels #9",English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Adult', 'British Literature', 'Historical Romance', 'Tudor Period', 'Chick Lit', 'Adult Fiction']",661,Washington Square Press,05/21/03,455559,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355932638l/37470.jpg,alternate cover edition isbn two sisters competing greatest prize love kingwhen mary boleyn comes court innocent girl fourteen catches eye henry viii dazzled mary falls love golden prince growing role unofficial queen however soon realises much pawn familys ambitious plots kings interest begins wane forced step aside best friend rival sister anne mary knows must defy family king take fate handsa rich compelling novel love sex ambition intrigue boleyn girl introduces woman extraordinary determination desire lived heart exciting glamourous court europe survived following heartthe boleyn girlphilippa gregory goodreads authorthe plantagenet tudor novels boleyn girlphilippa gregory goodreads authorthe plantagenet tudor novels
The Boy in the Striped Pajamas,John Boyne,4.15,"If you start to read this book, you will go on a journey with a nine-year-old boy named Bruno. (Though this isn't a book for nine-year-olds.) And sooner or later you will arrive with Bruno at a fence.

Fences like this exist all over the world. We hope you never have to encounter one.The Boy in the Striped PajamasJohn BoyneThe Boy in the Striped PajamasJohn Boyne",English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Holocaust', 'War', 'Classics', 'World War II', 'School', 'Childrens']",240,David Fickling Books,09/12/06,517922,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366228171l/39999.jpg,start read book go journey nineyearold boy named bruno though isnt book nineyearolds sooner later arrive bruno fence fences like exist world hope never encounter onethe boy striped pajamasjohn boynethe boy striped pajamasjohn boyne
Jurassic Park,Michael Crichton,4.04,"An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price. Until something goes wrong. . . . In Jurassic Park, Michael Crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying technothriller.Jurassic ParkMichael CrichtonJurassic Park #1Jurassic ParkMichael CrichtonJurassic Park #1",English,"['Science Fiction', 'Fiction', 'Thriller', 'Adventure', 'Fantasy', 'Horror', 'Classics', 'Science Fiction Fantasy', 'Dinosaurs', 'Suspense']",466,Ballantine Books,05/14/12,802556,93.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411l/40604658._SY475_.jpg,astonishing technique recovering cloning dinosaur dna discovered humankinds thrilling fantasies come true creatures extinct eons roam jurassic park awesome presence profound mystery world visit themfor price something goes wrong jurassic park michael crichton taps mesmerizing talent scientific brilliance create electrifying technothrillerjurassic parkmichael crichtonjurassic park jurassic parkmichael crichtonjurassic park
Last Sacrifice,Richelle Mead (Goodreads Author),4.39,"They come first.My vision was growing dimmer, the blackness and ghosts closing in. I swore it was like I could hear Robert whispering in my ear: The world of the dead won't give you up a second time. Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided then that if the two people I loved most were safe, I could leave this world.The dead could finally have me.Rose Hathaway has always played by her own rules. She broke the law when she ran away from St. Vladimir's Academy with her best friend and last surviving Dragomir princess, Lissa. She broke the law when she fell in love with her gorgeous, off-limits instructor, Dimitri. And she dared to defy Queen Tatiana, leader of the Moroi world, risking her life and reputation to protect generations of dhampir guardians to come.Now the law has finally caught up with Rose - for a crime she didn't even commit. She's in prison for the highest offense imaginable: the assassination of a monarch. She'll need help from both Dimitri and Adrian to find the one living person who can stall her execution and force the Moroi elite to acknowledge a shocking new candidate for the royal throne: Vasilisa Dragomir.But the clock on Rose's life is running out. Rose knows in her heart the world of the dead wants her back...and this time she is truly out of second chances. The big question is, when your whole life is about saving others, who will save you?Join Rose, Dimitri, Adrian, and Lissa in Last Sacrifice, the epic, unforgettable finale to Richelle Mead's international #1 bestselling Vampire Academy series.Last SacrificeRichelle Mead (Goodreads Author)Vampire Academy #6Last SacrificeRichelle Mead (Goodreads Author)Vampire Academy #6",English,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']",594,Razorbill,12/07/10,254915,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319850978l/6527740._SY475_.jpg,come firstmy vision growing dimmer blackness ghosts closing swore like could hear robert whispering ear world dead wont give second time light completely vanished saw dimitris face join lissas wanted smile decided two people loved safe could leave worldthe dead could finally merose hathaway always played rules broke law ran away st vladimirs academy best friend last surviving dragomir princess lissa broke law fell love gorgeous offlimits instructor dimitri dared defy queen tatiana leader moroi world risking life reputation protect generations dhampir guardians comenow law finally caught rose crime didnt even commit shes prison highest offense imaginable assassination monarch shell need help dimitri adrian find one living person stall execution force moroi elite acknowledge shocking new candidate royal throne vasilisa dragomirbut clock roses life running rose knows heart world dead wants backand time truly second chances big question whole life saving others save youjoin rose dimitri adrian lissa last sacrifice epic unforgettable finale richelle meads international bestselling vampire academy serieslast sacrificerichelle mead goodreads authorvampire academy last sacrificerichelle mead goodreads authorvampire academy
